int.slv.Family,int.slv.Genus,int.slv.Species,int.slv.cnf,int.slv.lws.txn,int.slv.lws.lvl,AA2 T0 ,AA2 T3 355,AA2 T3 765,AA2 T7 355,AA2 T7 765,AA3 T3 355,AA3 T3 765,AA3 T6 355,AA3 T6 765
[Eubacterium]_coprostanoligenes_group,[Eubacterium]_coprostanoligenes_group,uncultured_bacterium,0.958872773,[Eubacterium]_coprostanoligenes_group,Genus,0,0,0,0,0,0,0,0,0
Acetobacteraceae,Acetobacter,Unassigned,0.996394397,Acetobacter,Genus,0,0,0,0,0,0,0,0,0
Acetobacteraceae,Acetobacter,Unassigned,0.995735949,Acetobacter,Genus,0,0,0,0,0,0,0,0,0
Acetobacteraceae,Acetobacter,Unassigned,0.813144432,Acetobacter,Genus,0,0,0,0,0,0,0,0,0
Moraxellaceae,Acinetobacter,Unassigned,0.999999128,Acinetobacter,Genus,0,0,0,0,0,0,0,0,0
Clostridiaceae,Clostridium_sensu_stricto_1,Clostridium_butyricum,0.923780217,Clostridium_butyricum,Species,0,0,0,0,0,0.001942862,0,0,0
Clostridiaceae,Clostridium_sensu_stricto_1,Clostridium_butyricum,0.94730562,Clostridium_butyricum,Species,0,0,0,0,0,0,0,0,0
Moraxellaceae,Acinetobacter,Unassigned,0.999999898,Acinetobacter,Genus,0,0,0,0,0,0,0,0,0
Moraxellaceae,Acinetobacter,Unassigned,0.999938597,Acinetobacter,Genus,0,0,0,0,0,0,0,0,0
Moraxellaceae,Acinetobacter,Unassigned,0.999999964,Acinetobacter,Genus,0,0,0,0,0,0,0,0,0.000106259
Clostridiaceae,Clostridium_sensu_stricto_5,Clostridium_sp.,0.836074882,Clostridium_sp.,Species,0.003161135,0.123292639,0.047674658,0.04732659,0.031329719,0.27469422,0.552922153,0.422402916,0.407289342
Clostridiaceae,Clostridium_sensu_stricto_11,Clostridium_sp.,0.998626935,Clostridium_sp.,Species,0.116546044,0.361658407,0.518169953,0.407369942,0.400350765,0,0,0.02060844,0.001487621
Clostridiaceae,Clostridium_sensu_stricto_19,Clostridium_oryzae,0.889659618,Clostridium_oryzae,Species,0.006904584,0,0,0,0,0,0,0,0
Moraxellaceae,Acinetobacter,Acinetobacter_radioresistens,0.717172173,Acinetobacter_radioresistens,Species,0,0,0,0,0,0,0,0,0
