,Hour,Day,Glucose (0.37 W/m³),Acetic (0.37 W/m³),Butyric (0.37 W/m³),Caproic (0.37 W/m³),Lactic (0.37 W/m³),Glucose (67.92 W/m³),Acetic (67.92 W/m³),Butyric (67.92 W/m³),Caproic (67.92 W/m³)
0,0.0,,1.0,,,,,1.0,,,
1,10.0,0.416666667,0.9505872512830192,,,,0.0009628197905245089,0.9570670014654846,,,
2,14.0,0.583333333,0.8605722225914424,,,,0.006917349439478662,0.8102811235678262,,0.02206545769473229,
3,18.0,0.75,0.6905808429133987,,,,0.017443454836461446,0.634623671127224,,0.0693872323679268,
4,22.0,0.916666667,0.4252701329671099,,0.04018688141563384,,,0.48681507811283564,,0.10617329384617533,
5,32.75,1.364583333,,,0.15643504368557432,,0.011187106308072778,0.2188949126225045,,0.191193650772622,
6,40.0,1.666666667,,0.03942142776623364,0.15057023820146154,,,0.07305193796415896,0.06489614408807239,0.20377147834793263,
7,59.25,2.46875,,0.057281575568105675,0.14919865146076391,,,0.0,0.08284891895575885,0.2200377396114204,0.008685328935028575
8,108.75,4.53125,,0.14284270427771903,0.12526330700395638,,,,0.09618844311506974,0.21898823874358464,0.010100749393284538
9,205.0,8.541666667,,0.14168277424083672,0.1111773603687002,0.03910800388498531,,,0.12719534899176313,0.21295553107058818,0.011426847201262212
10,276.0,11.5,,0.1392835279539984,0.11952641398275685,0.041598394820723125,,,0.1276862598108944,0.21355434875962528,0.011450343234759245
