Hour,Day,Acetic_135,Propionic_135,Butyric_135,Isobutyric_135,Isovaleric_135,Caproic_135,Acetic_400,Butyric_400,Isobutyric_400,Isovaleric_400,Caproic_400
0,0,,,,0.82579114,,,,,0.91112454,,
9,0.375,,,,0.4414,,,,,0.94147978,,
21,0.875,0.21665714,,0.25603667,1.01863811,,,0.19810936,0.91477551,0.97092306,,
32.5,1.354166667,0.75274006,,0.9319089,0.97479889,,,0.57575498,1.41029191,0.9315785,,0.19526745
47.5,1.979166667,1.6482413,,1.55872611,0.4414,,,1.31910834,2.20231804,0.95320498,0.09486,0.31734525
56.75,2.364583333,2.88385194,,2.74746885,0.96229201,,,1.73629318,2.58107356,0.98414648,0.089608,0.31296815
80.75,3.364583333,3.81296352,,3.46679533,0.99522028,0.058694,,2.3182448,3.0585461,0.99362435,0.072292,0.31263145
98.5,4.104166667,2.49959642,,3.18750176,1.03534652,0.101646,0.27944245,4.17526616,3.72117513,0.99668593,,
122,5.083333333,4.4017654,,3.81556052,0.95476834,0.074086,,2.6471374,3.17152715,0.9442808,0.077154,0.3820638
147.25,6.135416667,4.03209172,0.16233008,3.4751551,0.99469916,,,2.7074277,3.13632231,1.00948594,,0.40387715
196.5,8.1875,4.50147474,0.24459894,3.74531638,1.05049157,,0.2390625,2.94690638,3.12978348,0.9563317,0.077466,0.4737905
