Hour,Day,Glucose_25,Lactic_25,Acetic_25,Propionic_25,Isobutyric_25,Butyric_25,Ethanol_25,Isovaleric_25,Valeric_25,Caproic_25,Glucose_400,Lactic_400,Acetic_400,Propionic_400,Isobutyric_400,Butyric_400,Ethanol_400,Isovaleric_400,Valeric_400,Caproic_400
0,0,0.231,,,0.366,,0.169,,,,,0.23,,,,,0.144,,,,
13,0.541666667,,0.364,,,,0.189,,,,,0.164,,,,,0.218,,,,
23,0.958333333,,0.658,0.135,,,0.153,,,,,,,0.673,,,1.121,,,,0.087
37,1.541666667,,1.047,0.142,,,0.83,0.206,,,,,,0.869,,,1.358,,,,0.091
60,2.5,,,0.564,,,1.346,0.134,,,0.113,,,1.174,,,1.401,,,,0.09
85,3.541666667,,,0.932,,,1.371,,,,0.162,,,1.138,,,1.316,,,,0.124
109,4.541666667,,,1.048,,,1.497,,,,0.201,,,1.158,,,1.28,,,,0.137
133,5.541666667,,,1.07,,,1.504,,,,0.215,,,1.185,,,1.373,,,,0.142
157,6.541666667,,,1.195,,,1.538,,,,0.27,,,1.202,,,1.344,,0.05,,0.154
181,7.541666667,,,1.187,,,1.518,,,,0.258,,,1.216,,,1.349,,0.056,,0.144
205,8.541666667,,,1.19,,,1.523,,,,0.256,,,1.224,,,1.305,,0.061,,0.177
229,9.541666667,,,1.206,,,1.556,,,,0.243,,,1.226,,,1.321,,0.068,,0.165
253,10.54166667,,,1.241,,,1.547,,,,0.235,,,1.218,,,1.347,,0.061,,0.187
277,11.54166667,,,1.252,,,1.522,,,,0.287,,,1.253,,,1.326,,0.058,,0.199
